Time;Sensor1;Sensor2;Sensor3
166404513;-8,039729118347168;-0,033518824726343155;5,305551052093506
166243839;-7,783549785614014;-0,2322375625371933;4,95120906829834
166083196;-8,96389102935791;0,5961562395095825;5,274426460266113
165922552;-9,265560150146484;-0,6177040338516235;4,793191909790039
165761909;-8,925583839416504;-0,17717093229293823;4,170699596405029
165601235;-8,51138687133789;-0,4141969084739685;4,6255974769592285
165440561;-8,592789649963379;-0,3663128614425659;4,144362926483154
165279918;-8,099584579467773;-0,3878606855869293;4,496310710906982
165119275;-8,473079681396484;-0,49320554733276367;4,2760443687438965
164958631;-8,549694061279297;-0,2968810200691223;3,270479440689087
164797988;-8,544905662536621;-0,6344634294509888;5,303156852722168
164637345;-6,366182327270508;-1,9105730056762695;5,827486991882324
164476702;-8,959102630615234;-1,381454348564148;0,7541735172271729
164316058;-9,102754592895508;-3,1028854846954346;2,518700122833252
164155445;-8,343792915344238;-1,3311761617660522;2,784456491470337
163994802;-9,244012832641602;-0,6871358752250671;3,2561142444610596
163834159;-9,165003776550293;-0,6344634294509888;2,4612393379211426
163673516;-9,21288776397705;-2,0685901641845703;3,2082302570343018
163512872;-8,580819129943848;-1,702277421951294;2,0398597717285156
163352290;-9,813833236694336;-2,942473888397217;2,6575639247894287
163191616;-9,718064308166504;-2,5019407272338867;2,631227731704712
163030973;-8,480262756347656;-1,4484920501708984;2,5665841102600098
162870330;-8,774748802185059;-1,1851298809051514;2,3271639347076416
162709686;-9,210494041442871;-1,6663644313812256;3,4356794357299805
162549043;-9,648633003234863;-0,23702596127986908;2,43011474609375
162388400;-9,454702377319336;-0,5027823448181152;3,758896589279175
162227787;-9,174580574035645;0,3447650372982025;0,8212111592292786
162067144;-9,14345645904541;-1,1204863786697388;3,1052796840667725
161906500;-7,647080421447754;-3,512293815612793;3,0142998695373535
161745857;-2,0877439975738525;-1,9536685943603516;-1,7118542194366455
161585214;-9,605537414550781;-0,5267243981361389;6,607996463775635
161424570;-4,314351558685303;-0,933738648891449;-5,60722017288208
161263927;-16,445772171020508;-0,9097966551780701;-4,520252704620361
161103284;-20,214244842529297;0,9385270476341248;4,0964789390563965
160942640;-8,528146743774414;-1,0773907899856567;2,8203697204589844
160781997;-9,519346237182617;-1,644816517829895;0,7398083209991455
160621354;-15,871163368225098;7,453149795532227;-4,8482584953308105
160460710;-8,070854187011719;-0,12210428714752197;0,7613561153411865
160300098;0,31124621629714966;-2,054224967956543;-3,177105665206909
160139454;-11,753135681152344;-1,7693150043487549;-4,81473970413208
159978811;-16,4625301361084;-0,9193734526634216;7,467514991760254
159818168;-11,113883972167969;-0,9265560507774353;-1,213860273361206
159657555;-8,11634349822998;-2,58813214302063;-2,2625205516815186
159496912;7,19936466217041;-1,8962076902389526;0,42377370595932007
159336299;-21,5023250579834;-8,42040729522705;11,621455192565918
159175656;-1,8914192914962769;0,6153098344802856;-8,360552787780762
159015043;-18,270153045654297;-3,8594532012939453;-0,7589619159698486
158854399;-9,916783332824707;-1,482010841369629;7,982268333435059
158693787;-9,090784072875977;-1,1300631761550903;5,303156852722168
158533143;-5,7987565994262695;-0,5961562395095825;0,2298433631658554
158372531;-25,560497283935547;-11,4849853515625;2,1930887699127197
158211918;-9,99339771270752;-2,2864625453948975;13,682862281799316
158051275;-4,015076160430908;0,4596867263317108;-8,398859977722168
157890662;-21,033061981201172;-2,985569477081299;-6,447585105895996
157730018;-14,314931869506836;-3,4811692237854004;-0,16998831927776337
157569406;-7,513004779815674;-1,625662922859192;-1,194706678390503
157408793;-8,197746276855469;-0,10773907601833344;-1,50355863571167
157248150;-17,470489501953125;-8,927978515625;14,211980819702148
157087537;-3,4141316413879395;-0,9074024558067322;-0,524330198764801
156926893;-11,133037567138672;-1,192312479019165;-8,054094314575195
156766250;-9,883264541625977;-9,454702377319336;3,9839515686035156
156605607;-9,428366661071777;-3,4548330307006836;6,936002254486084
156444964;-10,192116737365723;-2,406172752380371;-0,12689268589019775
156284320;-13,251906394958496;8,243236541748047;-12,193669319152832
156123677;-12,193669319152832;-0,9696516990661621;8,65982723236084
155963034;0,8523358106613159;-1,9919757843017578;-4,963180065155029
155802390;-13,747506141662598;-0,811634361743927;-2,5474305152893066
155641747;-16,27578353881836;1,460463047027588;8,434772491455078
155481104;-9,17697525024414;-2,5282769203186035;-6,732495307922363
155320430;-12,42111873626709;-4,644751071929932;3,378218650817871
155159787;-50,47455978393555;-24,11679458618164;3,4524388313293457
154999143;-3,5697548389434814;-0,8403648138046265;16,757017135620117
154838469;-4,3406877517700195;1,659181833267212;-10,611102104187012
154677826;-21,715410232543945;-0,019153613597154617;-14,508862495422363
154517152;-11,35809326171875;-3,5266590118408203;2,6384103298187256
154356509;-8,293514251708984;-2,6144683361053467;-0,272938996553421
154195866;-7,603984832763672;10,407594680786133;-8,53532886505127
154035222;-13,599065780639648;-2,451662540435791;12,674903869628906
153874579;1,0223240852355957;-1,2449848651885986;-9,174580574035645
153713936;-14,781801223754883;-1,280897855758667;-1,4413094520568848
153553293;-11,91354751586914;3,24414324760437;5,7987565994262695
153392649;-11,420342445373535;-1,1037269830703735;-7,479485988616943
153232006;-8,348581314086914;-3,0358476638793945;2,1739351749420166
153071363;-28,67535400390625;-10,977415084838867;-5,284003257751465
152910719;-2,9065608978271484;-2,8778305053710938;4,170699596405029
152750045;-5,080495834350586;0,8762778043746948;-7,2568254470825195
152589402;-19,048269271850586;-2,9328970909118652;-3,7397429943084717
152428759;-9,677363395690918;-3,5266590118408203;5,592854976654053
152268177;-9,452308654785156;-1,2832920551300049;-0,3998316824436188
152107503;-21,612459182739258;5,521028995513916;-5,676652431488037
151946859;-11,080365180969238;-0,2537853717803955;8,343792915344238
151786216;-0,9648633003234863;-0,9097966551780701;-6,746860504150391
151625573;-11,587936401367188;-2,6216509342193604;-3,890577793121338
151464930;-19,208681106567383;0,6560112833976746;11,022904396057129
151304286;-10,924742698669434;-1,0103530883789062;0,7733271718025208
151143643;-7,094019412994385;-0,6775590777397156;0,4836287498474121
150983030;-3,8331170082092285;-2,056619167327881;0,7374141216278076
