Time;Sensor1;Sensor2;Sensor3
22169359;-8,662221908569336;-2,0638017654418945;3,756502389907837
22008716;-8,489839553833008;-2,229001760482788;3,7038300037384033
21848073;-8,746018409729004;-2,4181437492370605;3,550601005554199
21687345;-8,7484130859375;-2,719813108444214;3,3686418533325195
21526684;-8,959102630615234;-2,6815059185028076;2,9017724990844727
21366052;-8,810662269592285;-2,1523873805999756;2,9161376953125
21205374;-8,949525833129883;-2,4205379486083984;2,784456491470337
21044717;-8,913613319396973;-2,6001031398773193;2,499546527862549
20884062;-9,083600997924805;-2,3965959548950195;2,691082715988159
20723419;-9,205705642700195;-2,6862943172454834;1,6639702320098877
20562776;-9,155426979064941;-2,698265314102173;1,3048399686813354
20402163;-9,490615844726562;-2,779668092727661;2,477998733520508
20241520;-9,011775016784668;-3,0406360626220703;2,0231003761291504
20080846;-9,148244857788086;-2,363077163696289;2,0853497982025146
19920203;-9,078812599182129;-3,1651346683502197;2,183511972427368
19759591;-8,17141056060791;-4,23773717880249;2,233790159225464
19598948;-6,624756336212158;-2,626439332962036;-0,667982280254364
19438304;-8,482656478881836;-3,0334534645080566;-0,19393034279346466
19277661;-7,3669586181640625;-5,130774021148682;-1,2952631711959839
19117018;-6,615179061889648;-2,873042106628418;-5,724536418914795
18956375;-12,533645629882812;-3,869029998779297;-2,365471363067627
18795763;-9,150638580322266;-2,9257144927978516;-2,8562827110290527
18635119;-9,282320022583008;-1,4460978507995605;-1,900996208190918
18474476;-9,86650562286377;-1,6543933153152466;-2,3750481605529785
18313833;-9,59596061706543;-3,648763418197632;-0,5171475410461426
18153190;-5,032611846923828;-6,94079065322876;-7,1706342697143555
17992547;-7,9176249504089355;-1,7190368175506592;-0,8403648138046265
17831904;-6,557718276977539;0,6033388376235962;2,4157495498657227
17671261;-7,0126166343688965;-4,797980308532715;-3,1244332790374756
17510618;-9,47146224975586;-5,070919036865234;-3,272873640060425
17349975;-12,358869552612305;-0,17477671802043915;0,7230489253997803
17189301;-11,171344757080078;-2,1308395862579346;-2,1284453868865967
17028658;-8,875306129455566;-2,3295583724975586;-1,359906554222107
16868015;-9,672574996948242;0,272938996553421;-0,646434485912323
16707372;-10,1753568649292;2,3367409706115723;-2,229001760482788
16546698;-8,791508674621582;-1,525106430053711;1,1348515748977661
16386055;-7,608773231506348;0,07422025501728058;0,21308395266532898
16225412;-8,085219383239746;-2,279279947280884;0,12210428714752197
16064738;-9,32541561126709;-4,235342979431152;-2,1930887699127197
15904095;-15,265430450439453;-6,370970726013184;-0,3423708379268646
15743482;-16,622941970825195;0,6631938815116882;6,287173748016357
15582839;-10,36449909210205;-1,9632453918457031;-1,7166426181793213
15422196;-9,284713745117188;-3,6391866207122803;-1,6304513216018677
15261553;-9,943120002746582;-0,7733271718025208;-0,272938996553421
15100910;-9,955090522766113;4,216189384460449;-1,6927006244659424
14940267;-15,557522773742676;1,9823989868164062;-8,42040729522705
14779654;-7,977479934692383;1,0678139925003052;1,1516109704971313
14619011;-9,890447616577148;-4,091690540313721;-0,304063618183136
14458368;-9,916783332824707;-0,6943184733390808;-2,229001760482788
14297725;-12,071564674377441;-7,5417351722717285;-2,1595699787139893
14137051;-15,229516983032227;5,3342814445495605;3,5218706130981445
13976408;-9,045293807983398;-1,1875240802764893;-1,3958195447921753
13815765;-9,39245319366455;-0,14604631066322327;0,2322375625371933
13655122;-9,895236015319824;-1,280897855758667;0,5027823448181152
13494479;-8,058882713317871;-5,3342814445495605;0,43335050344467163
13333836;-7,587224960327148;1,5825673341751099;1,2401964664459229
13173223;-7,9176249504089355;0,023942016065120697;1,8387469053268433
13012580;-9,967061996459961;-0,9576807022094727;1,9584569931030273
12851937;-10,261548042297363;-1,6950948238372803;0,6727706789970398
12691294;-7,934384346008301;0,19632454216480255;1,5466543436050415
12530651;-15,167267799377441;-0,7541735172271729;-4,520252704620361
12370008;-9,141061782836914;-3,531447410583496;0,7493851184844971
12209365;-8,633491516113281;-2,3989901542663574;-1,1204863786697388
12048722;-8,485051155090332;0,7398083209991455;-1,1683704853057861
11888109;-9,588777542114258;0,27054479718208313;-1,2018892765045166
11727466;-9,344569206237793;1,1468225717544556;-1,479616641998291
11566853;-10,831368446350098;3,0095114707946777;0,002394201699644327
11406210;-4,9583916664123535;-4,424484729766846;0,6009446382522583
11245598;-6,665457725524902;2,9448680877685547;2,27209734916687
11084985;-8,439560890197754;1,9249382019042969;0,2561795711517334
10924342;-9,72285270690918;-0,4213795065879822;-1,4987702369689941
10763699;-8,585607528686523;-0,4596867263317108;-0,5961562395095825
10603056;-10,663774490356445;-3,818751811981201;0,16519992053508759
10442443;-13,558363914489746;1,4867992401123047;-0,0071826050989329815
10281800;-9,320627212524414;-3,584120035171509;-1,9560627937316895
10121157;-8,89445972442627;-0,8188169598579407;-1,4748282432556152
9960514;-9,528923034667969;1,1276689767837524;-1,479616641998291
9799871;-11,999738693237305;-1,0534487962722778;2,2912509441375732
9639197;-9,519346237182617;-8,039729118347168;-8,329427719116211
9478554;-6,868964672088623;5,810727596282959;0,15801730751991272
9317911;-6,993463039398193;-0,608127236366272;-1,9632453918457031
9157268;-8,365341186523438;-2,9496564865112305;-0,8667010068893433
8996655;-13,675680160522461;-2,5019407272338867;-3,5027170181274414
8836012;-11,954249382019043;1,2282254695892334;0,9217676520347595
8675399;-10,019734382629395;-0,07182604819536209;-4,776432514190674
8514756;-8,87291145324707;1,213860273361206;-3,7038300037384033
8354083;-8,485051155090332;0,8451532125473022;-3,227383852005005
8193440;-9,258378028869629;2,0685901641845703;-1,800439715385437
8032796;-8,396465301513672;2,6886885166168213;-1,4628572463989258
7872153;-6,473921298980713;3,7612907886505127;-0,3902548849582672
7711510;-7,433996200561523;2,47560453414917;0,5602431893348694
7550867;-9,311050415039062;0,07182604819536209;0,727837324142456
7390255;-10,376470565795898;1,2186486721038818;-3,88818359375
7229611;-9,653421401977539;1,3215993642807007;-3,6942532062530518
7068968;-9,837775230407715;1,577778935432434;-2,7557260990142822
6908295;-9,610325813293457;2,212242364883423;-2,540247917175293
6747652;-9,193734169006348;-1,0869675874710083;-1,7142484188079834
6587008;-9,476250648498535;-0,24420857429504395;-2,1308395862579346
6426365;-9,57201862335205;-0,5770025849342346;-2,296039342880249
6265722;-9,10993766784668;0,038307227194309235;-1,4939818382263184
6105110;-9,437943458557129;1,2617442607879639;-1,4532804489135742
5944467;-8,868123054504395;2,738966703414917;-2,4133553504943848
5783793;-13,390769958496094;2,6240451335906982;-0,4118026793003082
5623150;-7,785943984985352;3,4739866256713867;-0,8786720037460327
5462476;-9,334992408752441;2,516305923461914;3,5649664402008057
5301833;-8,827422142028809;0,05506663769483566;-1,2282254695892334
5141159;-8,216899871826172;-3,3518824577331543;-0,7757213711738586
4980486;-15,986084938049316;-2,913743495941162;-0,06224924325942993
4819812;-14,384364128112793;1,4987702369689941;-2,851494312286377
4659200;-8,710105895996094;-0,7805097699165344;-1,7621324062347412
4498557;-9,124302864074707;-1,4245500564575195;-1,4269442558288574
4337913;-9,342175483703613;1,0630255937576294;-0,9528923034667969
4177240;-7,752425193786621;3,555389642715454;-4,989516258239746
4016597;-5,980715751647949;5,4013190269470215;-2,140416383743286
3855923;-8,214506149291992;7,003039836883545;0,26575639843940735
3695280;-5,504269599914551;2,784456491470337;-0,2825157940387726
3534606;-8,248024940490723;3,603273630142212;-0,6320692300796509
3373963;-11,267112731933594;5,932831764221191;-0,29209262132644653
3213320;-9,516951560974121;3,2417490482330322;-1,5107412338256836
3052677;-9,897629737854004;-0,5482721924781799;0,11971008777618408
2892034;-9,10993766784668;0,5722141861915588;-0,8643068075180054
2731360;-9,852140426635742;-4,189853191375732;-0,009576806798577309
2570717;-8,860940933227539;2,0374655723571777;-2,9879636764526367
2410074;-9,21288776397705;1,802833914756775;-2,190694570541382
2249400;-9,610325813293457;1,1276689767837524;-1,2186486721038818
2088757;-9,26795482635498;1,5849615335464478;-2,3511061668395996
1928114;-9,461885452270508;1,1300631761550903;-1,4508862495422363
1767471;-9,591172218322754;1,580173134803772;-1,460463047027588
1606797;-9,406818389892578;-1,941697597503662;-1,070208191871643
1446154;-9,588777542114258;3,4524388313293457;-2,1811177730560303
1285511;-10,72602367401123;-1,4939818382263184;-0,5578489899635315
1124838;-9,509769439697266;7,060500621795654;-6,825869083404541
964164;-10,45547866821289;1,0845733880996704;0,9864110946655273
803490;-10,20648193359375;2,851494312286377;0,040701430290937424
642817;-6,653486728668213;1,2090718746185303;0,3423708379268646
482113;-9,222464561462402;3,976768970489502;0,5554547905921936
321408;-10,915165901184082;2,7078421115875244;0,8044517636299133
160704;-9,071630477905273;3,1699230670928955;2,27209734916687
0;-8,779537200927734;3,294421434402466;1,8938134908676147
